"Status","Name","Duration in ms","Description"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_form[data4]","555","异常登录【from错误提示】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_form[data3]","552","异常登录【from错误提示】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_form[data0]","6181","异常登录【from错误提示】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.test_demo","8",""
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_pageCenter[data1]","1058","异常登录【错误提示pageCenter-totast】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_success","21882","正常登录"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_pageCenter[data0]","1280","异常登录【错误提示pageCenter-totast】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_form[data2]","514","异常登录【from错误提示】，测试用例步骤及断言实现一样的可以通过ddt来执行"
"passed","python10_WebAuto.Test_Case.test_00_login_v2.TestLogin.test_login_error_form[data1]","547","异常登录【from错误提示】，测试用例步骤及断言实现一样的可以通过ddt来执行"
